Restaurant Name,Aggregate rating,Votes,correl,
Boise Fry Company,4.4,823,,
Yellow Brick Road - Taj Vivanta,3.9,821,,
Shorts Burger and Shine,4.9,820,,
Dastarkhwan,4.4,818,,
Virgin Courtyard,4.4,817,,
Pebble Street,4,817,,
Original Georgios Authentic Greek Food,4.7,816,,
Billu's Hut,3.9,813,,
Sansei Seafood Restaurant & Sushi Bar,4.2,807,,
Yeti - The Himalayan Kitchen,3.7,807,,
Daily Eats,4.4,803,,
Huey's On The River,4.1,802,,
Zambar,4,802,,
Grit,4.2,800,,
Sevilla - The Claridges,4.3,800,,
Blue Orchid Thai Restaurant,4.5,799,,
Cafe Parmesan,4.5,799,,
Excuse Me Boss,4.1,799,,
Cafe LazyMojo,4.3,798,,
Def Col Social,3.9,798,,
Ethos Vegan Kitchen,4.4,797,,
Zunzi's,4.5,796,,
Fatburger,3.3,793,,
Pind Balluchi,3.3,793,,
New Yorker Deli & Pizzeria,4.6,792,,
Hinglish - Cafe Beach Bar,3.7,792,,
Baker Street,4.1,791,,
Naml? Gurme,4.1,788,,
The Rolling Joint,3.9,783,,
Momo Milk,3.7,783,,
Raglan Road Irish Pub and Restaurant,4.3,782,,
Sagar Ratna,4,782,,
Onesta,4.6,781,,
Mainland China,3.7,780,,
Qubitos - The Terrace Cafe,4.5,778,,
Barbeque Nation,4.9,774,,
The Blue Door Cafe,3.7,774,,
Aqua - The Park,3.8,773,,
Punjabi By Nature,3.7,770,,
@Mango,4.1,769,,
Kathputli,4.1,769,,
Ichiban,3.9,768,,
Kent's Fast Food,3.7,766,,
Ichiban,4.3,765,,
Kona Brewing Company,4.7,764,,
Garage Inc.,3.4,763,,
Royal Sky,4.2,762,,
Rahul Eggs,4.2,762,,
Dem Karak?_y,4.5,761,,
Lord of the Drinks Forum,4.2,756,,
Barbeque Nation,4,756,,
Five & Ten,4.3,755,,
Farzi Cafe,4.4,754,,
Milse,4.9,754,,
Eat Street,4.3,753,,
Old Famous Jalebi Wala,3.9,752,,
FIO Cookhouse and Bar,4,752,,
IKKA - The Ace Bar,3.6,751,,
Chili's Grill & Bar,4.1,750,,
Swagath,3.9,749,,
Pirates of Grill,3.9,749,,
Fisherman's Corner,4.4,747,,
Moon River Brewing Company,3.7,747,,
Kitty Su - The Lalit New Delhi,3.7,747,,
San Carlo,4.3,745,,
Puffizza,4.3,744,,
Barbeque Nation,4,744,,
Mainland China,3.7,743,,
Escondido Tapas,4.4,743,,
Palmshore,4.3,742,,
The Post Office Cafe,3.6,742,,
Mr. Crust Bakers,4.2,741,,
Bikkgane Biryani,4.1,740,,
Not Just Paranthas,3.6,734,,
Krispy Kreme,4,734,,
Taxi Bar & Cafe,3.3,732,,
Fozzie's Pizzaiolo,4.3,731,,
TGI Friday's,3.7,730,,
Maxims Pastry Shop,4.2,729,,
Fong's Pizza,4.6,728,,
Munch Nation,3.8,727,,
Starbucks,3.9,725,,
Flounders Chowder House,3.9,724,,
Star Noodle,4.6,723,,
Buckhead Bar and Grill,4.2,722,,
Paragon,4.3,722,,
SOHO South Cafe,4.3,719,,
Miyabi Kyoto Japanese Steak House,4.6,717,,
Cyber Hub Social,4.3,716,,
Moti Mahal,3.6,711,,
Bonne Bouche,4.1,711,,
J. Christopher's,4.3,710,,
Leonard's Bakery,4.7,707,,
Kimo's,4.3,707,,
Oh! Calcutta,3.8,706,,
Blues,3.7,706,,
Embassy,3.5,706,,
Duck & Waffle,4.9,706,,
Mumbai Local,4.2,704,,
Elf Cafe & Bar,3.3,704,,
The Grill On The Alley,4.4,704,,
Nazeer Foods,3.6,703,,
Dunkin' Donuts,3.8,701,,
Jethro's BBQ,4.3,699,,
Wok In The Clouds,3.7,699,,
Nik Baker's,4.1,698,,
Swati Snacks,4.4,697,,
Baking Bad,3.8,697,,
Machan - The Taj Mahal Hotel,3.9,696,,
Federal Delicatessen,4.6,696,,
Kihei Caffe,4.5,695,,
The Fatty Bao,4.1,695,,
Wailana Coffee House,4.2,694,,
Giovanni's Shrimp Truck,4.5,691,,
Spice Caves,4.2,691,,
Crystal Beer Parlor,4.4,690,,
Rocks on the River,4,687,,
Asian Haus,4.1,686,,
B. Matthew's Eatery,4.1,683,,
Pine & Dine,4,682,,
Atlanta Highway Seafood Market,4.9,681,,
The Black Sheep Bistro,4.7,681,,
Goose Feathers Cafe and Bakery,4.2,680,,
My Bar & Restaurant,3.2,679,,
Vikings,4.2,677,,
Brooklyn Central,4.2,676,,
Blackout,3.9,676,,
National Highway 44,4.4,676,,
QD's Restaurant,4.1,675,,
Flying Mango,4.5,674,,
Cafe Hawkers,3.7,673,,
Gola Sizzlers,3,671,,
Dharma Blue,4.1,669,,
Wok  In The Clouds,3.8,669,,
Boca Kitchen Bar Market,3.9,665,,
The Night Factory,3.7,665,,
Coriander Leaf,3.8,665,,
Rustom's Parsi Bhonu,4.2,665,,
Natural Ice Cream,4.5,665,,
Guppy,4.1,665,,
China Garden,3.8,663,,
Dhe Puttu,4.4,662,,
Dhaba,3.7,662,,
Din Tai Fung,4.3,661,,
Huqqa,3.7,661,,
Los Beto's,4.4,660,,
A Dong Restaurant,4.4,659,,
Kashi Art Cafe,4.2,659,,
Cocoa Tree,4.3,658,,
Young Wild Free Cafe,4.1,658,,
Zuka Choco-la,4.2,656,,
Fork,4.4,650,,
H?_agen-Dazs,4,649,,
Takosushi,4.2,647,,
Amici Cafe,3.7,647,,
Eggers Madhouse,4,647,,
Tossin Pizza,4.1,647,,
Club Cubana,4.4,646,,
Palmshore,4.4,645,,
The Beer Cafe - BIGGIE,3.8,645,,
AB's Absolute Barbecues,4.9,641,,
TabulaBeach Cafe,3.8,637,,
Phonebooth Caf??,4.1,636,,
Cactus Flower Cafe Navarre,4.2,635,,
Aslam Chicken,3.9,635,,
Kargo,4.4,635,,
Taruveda Bistro,4.2,633,,
Teasta,4.1,632,,
The Bee's Knees,4.5,631,,
Alkakori Alkauser,3.7,629,,
Onesta,4.6,627,,
Indian Grill Company,3.7,626,,
Italiano,3.6,625,,
Smaaash,3.9,622,,
Pind Balluchi,3.6,622,,
The Hungry Monkey,3.7,622,,
Spiral - Sofitel Philippine Plaza Manila,4.9,621,,
The Barbeque Company,4.2,621,,
Captain Grub,3.8,619,,
Beluga,3.8,619,,
The Food Hall by Todd English,4.5,618,,
The Whippet,4.3,618,,
Grandmama's Cafe,3.8,617,,
The Flashback,3.7,617,,
SodaBottleOpenerWala,4,617,,
Giapo,4.7,617,,
The Grand Trunk Road,3.9,616,,
Flatbread Neapolitan Pizzeria,4.6,615,,
Clocked,4.2,613,,
Bikkgane Biryani,3.8,612,,
"Game of Legends - Sports Bar, Grill, & Lounge",3.5,609,,
Zerruco - The Ashok,4.4,609,,
Johnny Rockets,4,608,,
The Royal Turban,3.8,608,,
KFC,2.7,608,,
The Burger Club,3.9,606,,
Boombox Cafe Reloaded,3.9,605,,
Sushi Masa,4.9,605,,
Suruchi,3.8,603,,
Lakshmi Coffee House,3.8,603,,
Marukame Udon,4.9,602,,
Gaucho,4.5,602,,
Fisherman's Cove,3.8,601,,
Moets Shack,3.7,601,,
Spaghetti Kitchen,3.8,601,,
Colonel's Kababz,3.2,600,,
Veg Gulati,3.8,600,,
Depot Eatery and Oyster Bar,4.8,598,,
Prost Brew Pub,4.1,594,,
Chocolateria San Churro,3.8,594,,
Izakaya Kikufuji,4.5,591,,
Native Cafe,4.2,591,,
Walter's Coffee Roastery,4,591,,
Cappuccino Blast,4,587,,
The Cheesecake Factory,4.6,586,,
Sasuraal,3.3,586,,
Saut??ed Stories,4.2,583,,
Mamu's Infusion,4,582,,
Happy Hakka,3.6,582,,
Perron,4.2,581,,
Trappeze Pub,4.2,579,,
Geoffrey's,3,579,,
Smokey's BBQ and Grill,4.2,578,,
Baba Nagpal Corner,4.1,577,,
Smok'n Pig B-B-Q,4.1,575,,
Cafe Turtle,3.6,574,,
Sahib??s Barbeque by Ohri??s,4.1,571,,
